customerID,companyName,contactName,contactTitle,city,country,segment,industry,registrationDate,creditLimit
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Germany,Government,Retail,2019-03-30,232533.45
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Mexico City,Mexico,Retail,Education,2019-01-28,275405.24
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,Mexico City,Mexico,Government,Construction,2018-04-28,244669.15
AROUT,Around the Horn,Thomas Hardy,Sales Representative,London,UK,Small Business,Manufacturing,2019-05-01,281252.89
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,Luleå,Sweden,Small Business,Manufacturing,2018-07-29,386731.26
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Mannheim,Germany,Small Business,Transportation,2019-05-24,161935.17
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,Strasbourg,France,Government,Agriculture,2019-09-01,467181.69
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,Madrid,Spain,Government,Manufacturing,2018-11-19,65327.68
BONAP,Bon app',Laurence Lebihan,Owner,Marseille,France,Retail,Technology,2018-12-28,448401.43
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,Tsawassen,Canada,Wholesale,Education,2019-11-07,477531.39
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,London,UK,Small Business,Manufacturing,2019-02-02,25822.91
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Buenos Aires,Argentina,Corporate,Education,2019-02-23,462384.77
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Mexico City,Mexico,Government,Transportation,2018-03-12,110923.47
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland,Retail,Manufacturing,2018-10-13,466846.85
COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,Sao Paulo,Brazil,Government,Retail,2019-01-27,59067.16
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,London,UK,Retail,Healthcare,2019-01-04,125016.73
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Aachen,Germany,Retail,Healthcare,2019-08-07,320782.56
DUMON,Du monde entier,Janine Labrune,Owner,Nantes,France,Corporate,Hospitality,2018-09-21,209584.18
EASTC,Eastern Connection,Ann Devon,Sales Agent,London,UK,Wholesale,Hospitality,2019-01-04,342190.03
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Small Business,Food & Beverage,2020-05-30,482436.79
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,Sao Paulo,Brazil,Small Business,Technology,2018-06-06,328181.93
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,Madrid,Spain,Wholesale,Transportation,2020-05-13,327016.65
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,Lille,France,Government,Education,2019-02-24,146280.59
FOLKO,Folk och fä HB,Maria Larsson,Owner,Bräcke,Sweden,Corporate,Hospitality,2019-09-21,327887.87
FRANK,Frankenversand,Peter Franken,Marketing Manager,München,Germany,Small Business,Agriculture,2018-11-26,370649.83
FRANR,France restauration,Carine Schmitt,Marketing Manager,Nantes,France,Corporate,Retail,2019-02-02,211853.07
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Torino,Italy,Small Business,Food & Beverage,2018-04-07,498600.04
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Lisboa,Portugal,Wholesale,Transportation,2019-02-01,97224.26
GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,Barcelona,Spain,Government,Food & Beverage,2018-12-31,9587.25
GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,Sevilla,Spain,Retail,Construction,2018-03-13,58113.84
GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,Campinas,Brazil,Government,Manufacturing,2020-03-04,229902.79
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,Eugene,USA,Retail,Agriculture,2019-11-11,249486.65
GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,Caracas,Venezuela,Small Business,Agriculture,2018-07-21,236670.28
HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Small Business,Hospitality,2019-12-11,168688.63
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,San Cristóbal,Venezuela,Wholesale,Manufacturing,2018-03-11,360706.1
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,Elgin,USA,Corporate,Education,2019-07-31,396429.99
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,Cork,Ireland,Retail,Healthcare,2019-04-29,91869.98
ISLAT,Island Trading,Helen Bennett,Marketing Manager,Cowes,UK,Wholesale,Technology,2018-06-26,260063.93
KOENE,Königlich Essen,Philip Cramer,Sales Associate,Brandenburg,Germany,Corporate,Technology,2019-12-09,336281.65
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,Versailles,France,Small Business,Retail,2018-11-16,241339.78
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,Toulouse,France,Small Business,Food & Beverage,2020-05-22,134088.71
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,Vancouver,Canada,Small Business,Transportation,2019-08-11,378109.54
LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,Walla Walla,USA,Government,Manufacturing,2018-05-15,293318.07
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Frankfurt a.M.,Germany,Retail,Food & Beverage,2018-04-04,134468.81
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,San Francisco,USA,Government,Healthcare,2018-08-22,35751.54
LILAS,LILA-Supermercado,Carlos González,Accounting Manager,Barquisimeto,Venezuela,Corporate,Transportation,2018-06-08,156869.14
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,I. de Margarita,Venezuela,Wholesale,Agriculture,2018-05-20,461937.48
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,Portland,USA,Government,Hospitality,2019-11-23,321162.11
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Bergamo,Italy,Government,Education,2018-03-10,309239.6
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,Bruxelles,Belgium,Small Business,Retail,2020-05-16,241700.04
MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,Montréal,Canada,Wholesale,Construction,2019-07-27,189944.3
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Leipzig,Germany,Retail,Transportation,2019-02-27,379888.51
NORTS,North/South,Simon Crowther,Sales Associate,London,UK,Small Business,Healthcare,2019-05-29,341769.25
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Buenos Aires,Argentina,Retail,Hospitality,2019-06-12,265125.79
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,Anchorage,USA,Retail,Education,2019-09-13,43660.85
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,Köln,Germany,Retail,Hospitality,2020-03-14,35570.23
PARIS,Paris spécialités,Marie Bertrand,Owner,Paris,France,Retail,Agriculture,2019-08-09,105067.61
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,Mexico City,Mexico,Retail,Retail,2020-06-17,86445.89
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Salzburg,Austria,Retail,Transportation,2018-10-22,62538.81
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Lisboa,Portugal,Small Business,Construction,2020-06-03,246969.84
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,Rio de Janeiro,Brazil,Retail,Transportation,2018-10-16,405302.58
QUEEN,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,Sao Paulo,Brazil,Wholesale,Retail,2019-02-05,259057.68
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Wholesale,Construction,2019-03-04,33579.71
RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,Buenos Aires,Argentina,Wholesale,Manufacturing,2019-07-30,363023.64
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Wholesale,Manufacturing,2019-12-27,409144.35
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Reggio Emilia,Italy,Small Business,Construction,2019-06-23,41149.62
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,Rio de Janeiro,Brazil,Wholesale,Education,2018-11-17,351690.51
